ticker,title,asset_class,size,type,location,expense_ratio
VGWIX,Global Wellesley Income,Balanced,NA,NA,International,0.0042
VGWLX,Global Wellington,Balanced,NA,NA,International,0.0046
VFFVX,Target Retirement 2055,Balanced,NA,NA,US,0.0015
VGCIX,Global Credit Bond,Bonds,NA,NA,International,0.0035
VTABX,Total International Bond Index Admiral Shares,Bonds,NA,NA,International,0.0011
VEMBX,Emerging Markets Bond,Bonds,NA,NA,International,0.006
VGAVX,Emerging Markets Government Bond Index Admiral Shares,Bonds,NA,NA,International,0.0025
VGPMX,Global Capital Cycles,Stocks,NA,NA,International,0.0038
VHGEX,Global Equity,Stocks,NA,NA,International,0.0048
VEIGX,Global ESG Select Stock,Stocks,NA,NA,International,0.0058
VTWAX,Total World Stock Index Admiral Shares,Stocks,NA,NA,International,0.001
VTMGX,Developed Markets Index Admiral Shares,Stocks,NA,NA,International,7.00E-04
VEUSX,European Stock Index Admiral Shares,Stocks,NA,NA,International,0.001
VFWAX,FTSE All-World ex-US Index Admiral Shares,Stocks,NA,NA,International,0.0011
VFSAX,FTSE All-World ex-US Small Cap Index Admiral Shares,Stocks,NA,NA,International,0.0016
VGRLX,Global ex-US Real Estate Index Admiral Shares,Stocks,NA,NA,International,0.0012
VWICX,International Core Stock,Stocks,NA,NA,International,0.0045
VIAAX,International Dividend Appreciation Index Admiral Shares,Stocks,NA,NA,International,0.002
VINEX,International Explorer,Stocks,NA,NA,International,0.0039
VWIGX,International Growth,Stocks,NA,Growth,International,0.0043
VIHAX,International High Dividend Yield Index Admiral Shares,Stocks,NA,NA,International,0.0027
VTRIX,International Value,Stocks,NA,Value,International,0.0037
VPADX,Pacific Stock Index Admiral Shares,Stocks,NA,NA,International,0.001
VTIAX,Total International Stock Index Admiral Shares,Stocks,NA,NA,International,0.0011
VMMSX,Emerging Markets Select Stock,Stocks,NA,NA,International,0.0093
VEMAX,Emerging Markets Stock Index Admiral Shares,Stocks,NA,NA,International,0.0014
VMVFX,Global Minimum Volatility,Stocks,NA,NA,International,0.0021
VGENX,Energy,Stocks,NA,Sector,US,0.0032
VGHCX,Health Care,Stocks,NA,Sector,US,0.0032
VGSLX,Real Estate Index Admiral Shares,Stocks,NA,Sector,US,0.0012
